fp_ampl1,fp_ampl2,fp_ampl3,std_noise,CIRpower,RXPACC,fpindex,RX_power,FP_power,Pd,Pr,estimated_range,distance_GT,error,label
12369,18909,17045,48,51456,1020,747.712,-80.452,-81.322,0.87,1.010813901,13620,13519.99331,100.0066938,0
14158,20060,18714,56,33024,1050,746.64,-81.85,-82.576,0.726,1.008869884,13587,13519.99331,67.00669379,0
17851,17350,10858,40,13568,1049,744.544,-80.382,-81.151,0.769,1.009566818,13594,13519.99331,74.00669379,0
18511,17742,11139,44,62976,1020,743.48,-80.415,-81.215,0.8,1.009948393,13612,13519.99331,92.00669379,0
15074,18186,14152,44,23552,1021,749.84,-80.233,-81.271,1.038,1.01293732,13623,13519.99331,103.0066938,0
15980,19016,14844,56,6912,1051,748.776,-80.203,-81.24,1.037,1.012929691,13600,13519.99331,80.00669379,0
14994,19930,18126,60,51456,1050,747.712,-80.383,-81.268,0.885,1.011009791,13608,13519.99331,88.00669379,0
16619,16880,12697,52,25856,1020,745.608,-80.347,-81.317,0.97,1.012072635,13593,13519.99331,73.00669379,0
19357,19595,11819,56,14592,1049,744.552,-81.857,-82.345,0.488,1.005961616,13606,13519.99331,86.00669379,0
17545,16877,11265,48,61440,1020,743.48,-80.409,-81.235,0.826,1.010272482,13577,13519.99331,57.00669379,0
17322,15725,9464,44,47104,1051,742.424,-80.417,-82.901,2.484,1.030888991,13569,13519.99331,49.00669379,0
16449,17021,12580,52,26112,1049,749.864,-80.292,-81.261,0.969,1.01206845,13596,13519.99331,76.00669379,0
18866,18454,12749,40,11520,1020,748.808,-81.923,-82.744,0.821,1.010021606,13585,13519.99331,65.00669379,0
16574,16534,10682,44,61952,1051,747.736,-80.442,-81.103,0.661,1.008217101,13583,13519.99331,63.00669379,0
17783,18546,13410,48,43008,1049,746.68,-80.51,-81.528,1.018,1.012644392,13575,13519.99331,55.00669379,0
16779,17469,12395,40,27392,1020,745.616,-80.346,-81.294,0.948,1.011798969,13584,13519.99331,64.00669379,0
18317,19112,11886,48,13824,1050,744.544,-81.979,-82.602,0.623,1.007599507,13575,13519.99331,55.00669379,0
17556,17259,10815,48,62720,1049,743.48,-80.723,-81.419,0.696,1.008622078,13570,13519.99331,50.00669379,0
19446,16910,9778,52,48128,1052,742.424,-81.933,-82.323,0.39,1.004759987,13570,13519.99331,50.00669379,0
17051,17409,11901,40,28160,1050,749.872,-80.356,-81.266,0.91,1.011324606,13581,13519.99331,61.00669379,0
16576,16073,9888,48,13824,1021,748.8,-80.211,-82.794,2.583,1.032202566,13573,13519.99331,53.00669379,0
13914,17363,14973,44,3840,1051,748.776,-80.452,-81.363,0.911,1.011323522,13572,13519.99331,52.00669379,0
14556,17681,13987,40,55808,1050,747.712,-80.26,-81.271,1.011,1.012596561,13565,13519.99331,45.00669379,0
16745,19384,13831,52,43264,1021,746.68,-81.875,-82.685,0.81,1.00989313,13605,13519.99331,85.00669379,0
17491,18389,13466,48,26368,1019,745.608,-80.517,-81.514,0.997,1.012382478,13573,13519.99331,53.00669379,0
17618,18843,12530,48,12288,1050,744.544,-80.364,-81.133,0.769,1.009568961,13554,13519.99331,34.00669379,0
15020,16921,13511,48,22784,1052,749.84,-80.244,-81.211,0.967,1.012050745,13579,13519.99331,59.00669379,0
17205,15454,8732,44,64768,1050,747.744,-80.18,-82.623,2.443,1.030468945,13577,13519.99331,57.00669379,0
13835,17972,14910,44,54016,1021,747.704,-80.282,-81.273,0.991,1.012343987,13618,13519.99331,98.00669379,0
14351,17195,14659,52,37376,1051,746.64,-80.414,-81.347,0.933,1.011602457,13593,13519.99331,73.00669379,0
14402,17319,14312,36,22016,1050,745.576,-80.242,-81.255,1.013,1.012624311,13588,13519.99331,68.00669379,0
14095,16586,13806,44,4864,1021,744.512,-80.1,-81.019,0.919,1.011473159,13584,13519.99331,64.00669379,0
17013,15741,9697,48,30208,1049,749.864,-80.276,-82.797,2.521,1.031404156,13562,13519.99331,42.00669379,0
16524,17072,12046,44,60160,1050,747.744,-80.237,-81.11,0.873,1.010880267,13582,13519.99331,62.00669379,0
19704,19828,12755,48,45824,1021,746.672,-80.193,-82.799,2.606,1.032496602,13592,13519.99331,72.00669379,0
18307,18151,11892,48,28928,1051,745.608,-80.383,-81.287,0.904,1.011246159,13579,13519.99331,59.00669379,0
17734,18158,12451,48,11776,1050,744.552,-80.388,-81.343,0.955,1.011879883,13616,13519.99331,96.00669379,0
17172,17141,12130,44,60160,1021,743.488,-80.397,-81.3,0.903,1.011231762,13577,13519.99331,57.00669379,0
17347,18038,12513,44,27904,1050,749.872,-80.46,-81.347,0.887,1.011024111,13586,13519.99331,66.00669379,0
15462,17668,14046,44,7424,1050,748.776,-80.334,-81.374,1.04,1.012945951,13610,13519.99331,90.00669379,0
17792,16268,9162,48,64768,1049,747.744,-80.327,-82.861,2.534,1.031546055,13590,13519.99331,70.00669379,0
14986,19985,18173,52,51456,1020,747.712,-80.329,-81.201,0.872,1.010855357,13621,13519.99331,101.0066938,0
15539,17738,14044,44,40192,1051,746.648,-80.287,-81.338,1.051,1.013090538,13618,13519.99331,98.00669379,0
16822,19661,15320,48,22272,1049,745.576,-81.876,-82.829,0.953,1.011639552,13627,13519.99331,107.0066938,0
