,channel,bitrate,preamble,prf,tx_gain,T_N,T_W,T_E,T_Floor,antennaTypeAnchor,antennaTypeTag,x_tag,y_tag,z_tag,x_anchor,y_anchor,z_anchor,anchorNumber,LOS,RXPACC,fpindex,pkindex,fp_ampl1,fp_ampl2,fp_ampl3,pkpathampl,std_noise,RX_power,FP_power,LDEthreshold,t1,t2,t3,t4,t5,timestamp,estimated_range,actual_range,error,location_ID,newlabel,newlabeli,fpi,loc_tag,NLOS
32,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46400.0,-,4225.0,1728.0,4036.0,-,80.0,-91.478,-109.331,-,-,-,-,-,-,4229730922.0,4494.0,4704.247761332304,-210,10,good,1,725,10-10,NLOS
33,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46585.0,-,1563.0,3866.0,2282.0,-,92.0,-91.494,-111.18,-,-,-,-,-,-,549687712.0,4527.0,4704.247761332304,-177,10,good,1,727,10-10,NLOS
34,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1519.0,47362.0,-,4037.0,2190.0,4127.0,-,96.0,-90.108,-109.441,-,-,-,-,-,-,3612262037.0,4508.0,4704.247761332304,-196,10,good,1,740,10-10,NLOS
35,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,47311.0,-,1833.0,3602.0,3548.0,-,84.0,-91.653,-110.252,-,-,-,-,-,-,768350912.0,4485.0,4704.247761332304,-219,10,good,1,739,10-10,NLOS
36,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46570.0,-,1287.0,4037.0,2838.0,-,96.0,-91.922,-111.797,-,-,-,-,-,-,4084624303.0,4508.0,4704.247761332304,-196,10,good,1,727,10-10,NLOS
37,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1453.0,47653.0,-,987.0,3527.0,2628.0,-,80.0,-91.602,-111.093,-,-,-,-,-,-,3544086382.0,4494.0,4704.247761332304,-210,10,good,1,744,10-10,NLOS
38,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,47242.0,-,3914.0,2658.0,3740.0,-,96.0,-91.616,-109.247,-,-,-,-,-,-,2185382174.0,4522.0,4704.247761332304,-182,10,good,1,738,10-10,NLOS
39,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46598.0,-,3139.0,2736.0,4104.0,-,92.0,-91.874,-110.983,-,-,-,-,-,-,913650074.0,4490.0,4704.247761332304,-214,10,good,1,728,10-10,NLOS
40,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46082.0,-,4115.0,2362.0,4162.0,-,88.0,-91.738,-109.637,-,-,-,-,-,-,236493228.0,4546.0,4704.247761332304,-158,10,good,1,720,10-10,NLOS
41,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46721.0,-,4353.0,1689.0,3891.0,-,92.0,-91.784,-109.315,-,-,-,-,-,-,1425737510.0,4536.0,4704.247761332304,-168,10,good,1,730,10-10,NLOS
