,real_rng,rng,rssi,fp_idx,fp_power,fp_amp1,fp_amp2,fp_amp3,std_noise,pacc_cnt,condition,location_from,location_to,msid,bias,rng_wo_bias,error,error_nobias,env
261,9.5,10.568,-82.928,740,-107.125,74,426,329,24,101,nlos,1_hw,1_hw,5,0.032456531992666626,10.535543468007333,1.035543468007333,1.0679999999999996,1_hw1_hw
262,9.5,10.797,-82.515,750,-94.485,1263,1502,1253,28,101,nlos,1_hw,1_hw,5,0.033966000956967335,10.763033999043033,1.2630339990430333,1.2970000000000006,1_hw1_hw
263,9.5,10.854,-82.556,746,-94.786,1543,1390,863,24,101,nlos,1_hw,1_hw,5,0.03433425660770073,10.8196657433923,1.3196657433922994,1.3539999999999992,1_hw1_hw
266,9.5,10.812,-83.002,742,-106.295,276,325,419,20,101,nlos,1_hw,1_hw,5,0.03406319483571707,10.777936805164282,1.2779368051642823,1.3119999999999994,1_hw1_hw
267,9.5,10.816,-83.384,745,-107.052,255,377,305,24,101,nlos,1_hw,1_hw,5,0.034089078810118245,10.781910921189883,1.2819109211898834,1.3160000000000007,1_hw1_hw
269,9.5,10.812,-82.812,744,-107.418,132,419,288,20,101,nlos,1_hw,1_hw,5,0.03406319483571707,10.777936805164282,1.2779368051642823,1.3119999999999994,1_hw1_hw
271,9.5,10.305,-83.062,743,-106.096,485,159,337,20,101,nlos,1_hw,1_hw,5,0.030661830237972865,10.274338169762027,0.7743381697620269,0.8049999999999997,1_hw1_hw
272,9.5,10.774,-83.032,746,-93.875,1479,1610,1208,28,101,nlos,1_hw,1_hw,5,0.03381657388829762,10.740183426111702,1.2401834261117024,1.2739999999999991,1_hw1_hw
273,9.5,10.779,-83.054,741,-106.035,480,197,332,20,101,nlos,1_hw,1_hw,5,0.03384909893408139,10.74515090106592,1.2451509010659194,1.279,1_hw1_hw
274,9.5,10.247,-83.161,748,-94.55,1677,1383,785,24,101,nlos,1_hw,1_hw,5,0.03025696597544858,10.216743034024551,0.7167430340245513,0.7469999999999999,1_hw1_hw
275,9.5,10.305,-83.352,745,-94.78,1609,1354,802,28,101,nlos,1_hw,1_hw,5,0.030661830237972865,10.274338169762027,0.7743381697620269,0.8049999999999997,1_hw1_hw
276,9.5,10.819,-83.009,744,-106.52,253,366,376,20,101,nlos,1_hw,1_hw,5,0.0341084822992217,10.784891517700778,1.2848915177007783,1.3190000000000008,1_hw1_hw
277,9.5,10.85,-82.72,748,-94.917,1545,1341,850,24,101,nlos,1_hw,1_hw,5,0.03430850963817633,10.815691490361823,1.3156914903618233,1.3499999999999996,1_hw1_hw
279,9.5,10.263,-82.95,741,-106.959,189,361,375,24,101,nlos,1_hw,1_hw,5,0.030368985997856868,10.232631014002143,0.732631014002143,0.7629999999999999,1_hw1_hw
281,9.5,10.801,-82.848,744,-94.608,1546,1441,896,24,101,nlos,1_hw,1_hw,5,0.033991939253255055,10.767008060746745,1.267008060746745,1.3010000000000002,1_hw1_hw
282,9.5,10.793,-83.161,739,-107.118,253,390,282,24,101,nlos,1_hw,1_hw,5,0.03394004815170426,10.759059951848295,1.259059951848295,1.2929999999999993,1_hw1_hw
288,9.5,10.293,-83.618,740,-105.537,421,297,400,24,101,nlos,1_hw,1_hw,5,0.030578338548616024,10.262421661451384,0.7624216614513841,0.7929999999999993,1_hw1_hw
292,9.5,10.821,-83.67,742,-106.901,272,336,352,20,101,nlos,1_hw,1_hw,5,0.03412141344104214,10.786878586558958,1.2868785865589576,1.3209999999999997,1_hw1_hw
293,9.5,10.807,-82.798,741,-107.594,184,314,364,24,101,nlos,1_hw,1_hw,5,0.034030819514680566,10.772969180485319,1.272969180485319,1.3070000000000004,1_hw1_hw
294,4.267,5.104,-85.076,747,-90.488,2089,2572,1621,20,101,nlos,esl,hw,6,-0.0246494054048485,5.128649405404849,0.8616494054048482,0.8369999999999997,eslhw
296,4.267,5.106,-84.934,748,-90.555,1601,2663,1935,20,101,nlos,esl,hw,6,-0.02461756739437959,5.1306175673943795,0.8636175673943791,0.8389999999999995,eslhw
297,4.267,5.11,-84.934,743,-90.482,1371,2727,2076,20,101,nlos,esl,hw,6,-0.02455392616178198,5.134553926161782,0.867553926161782,0.843,eslhw
299,4.267,5.13,-84.719,745,-91.057,929,2447,2255,24,101,nlos,esl,hw,6,-0.024236414356574976,5.154236414356575,0.8872364143565745,0.8629999999999995,eslhw
300,4.267,5.114,-84.83,748,-90.964,1615,2553,1752,20,101,nlos,esl,hw,6,-0.02449033127747402,5.138490331277474,0.8714903312774736,0.8469999999999995,eslhw
301,4.267,5.13,-84.774,750,-90.778,1820,2594,1639,20,101,nlos,esl,hw,6,-0.024236414356574976,5.154236414356575,0.8872364143565745,0.8629999999999995,eslhw
304,4.267,5.1,-84.842,746,-91.132,1763,2413,1674,20,101,nlos,esl,hw,6,-0.024713116241252386,5.124713116241252,0.8577131162412517,0.8329999999999993,eslhw
305,4.267,5.138,-84.923,745,-90.834,917,2614,2212,24,101,nlos,esl,hw,6,-0.024109732860322808,5.162109732860323,0.8951097328603224,0.8709999999999996,eslhw
306,4.267,5.13,-84.797,750,-91.134,1101,2414,2165,24,101,nlos,esl,hw,6,-0.024236414356574976,5.154236414356575,0.8872364143565745,0.8629999999999995,eslhw
307,4.267,5.1,-84.887,746,-91.47,919,2383,2081,24,101,nlos,esl,hw,6,-0.024713116241252386,5.124713116241252,0.8577131162412517,0.8329999999999993,eslhw
308,4.267,5.111,-84.83,750,-90.847,1832,2485,1731,20,101,nlos,esl,hw,6,-0.024538023097244732,5.1355380230972445,0.8685380230972441,0.8439999999999994,eslhw
309,4.267,5.094,-84.877,745,-91.055,1983,2396,1506,20,101,nlos,esl,hw,6,-0.024808769616011972,5.118808769616012,0.8518087696160119,0.827,eslhw
311,4.267,5.151,-85.017,744,-90.854,941,2565,2246,20,101,nlos,esl,hw,6,-0.0239042681019086,5.174904268101908,0.907904268101908,0.8839999999999995,eslhw
312,4.267,5.123,-85.064,747,-91.07,226,2333,2531,20,101,nlos,esl,hw,6,-0.024347412024208204,5.147347412024208,0.8803474120242081,0.8559999999999999,eslhw
314,4.267,5.116,-85.161,743,-90.762,1311,2621,2046,20,101,nlos,esl,hw,6,-0.024458551202378942,5.140458551202379,0.8734585512023783,0.8489999999999993,eslhw
315,4.267,5.114,-85.029,750,-91.0,1744,2472,1715,20,101,nlos,esl,hw,6,-0.02449033127747402,5.138490331277474,0.8714903312774736,0.8469999999999995,eslhw
316,4.267,5.098,-85.017,749,-91.184,85,2240,2563,20,101,nlos,esl,hw,6,-0.02474498907805156,5.122744989078051,0.8557449890780511,0.8309999999999995,eslhw
317,4.267,5.108,-85.088,746,-90.808,918,2605,2239,20,101,nlos,esl,hw,6,-0.024585740981832416,5.132585740981832,0.8655857409818317,0.8409999999999993,eslhw
321,4.267,5.085,-85.174,747,-90.274,2031,2657,1764,24,101,nlos,esl,hw,6,-0.024952445989057992,5.109952445989058,0.8429524459890576,0.8179999999999996,eslhw
322,4.267,5.104,-85.005,749,-91.072,1614,2523,1710,20,101,nlos,esl,hw,6,-0.0246494054048485,5.128649405404849,0.8616494054048482,0.8369999999999997,eslhw
323,4.267,5.124,-85.076,750,-90.451,1305,2741,2123,24,101,nlos,esl,hw,6,-0.024331546556045858,5.1483315465560455,0.8813315465560452,0.8569999999999993,eslhw
324,4.267,5.131,-84.993,745,-90.617,1289,2694,2071,24,101,nlos,esl,hw,6,-0.02422056908528436,5.155220569085285,0.8882205690852842,0.8639999999999999,eslhw
327,4.267,5.119,-84.877,744,-90.768,1669,2590,1807,24,101,nlos,esl,hw,6,-0.024410902783325916,5.143410902783326,0.8764109027833253,0.8519999999999994,eslhw
328,4.267,5.125,-85.017,750,-90.683,843,2578,2378,20,101,nlos,esl,hw,6,-0.02431568397517392,5.149315683975174,0.8823156839751736,0.8579999999999997,eslhw
329,4.267,5.123,-84.911,751,-90.876,1001,2624,2135,20,101,nlos,esl,hw,6,-0.024347412024208204,5.147347412024208,0.8803474120242081,0.8559999999999999,eslhw
330,4.267,5.131,-85.137,747,-90.884,551,2458,2465,20,101,nlos,esl,hw,6,-0.02422056908528436,5.155220569085285,0.8882205690852842,0.8639999999999999,eslhw
331,4.267,5.109,-85.223,747,-90.528,1600,2658,1964,20,101,nlos,esl,hw,6,-0.024569832123082946,5.133569832123083,0.8665698321230826,0.8419999999999996,eslhw
332,4.267,5.094,-85.005,751,-91.303,119,2113,2608,24,101,nlos,esl,hw,6,-0.024808769616011972,5.118808769616012,0.8518087696160119,0.827,eslhw
334,4.267,5.125,-84.934,746,-90.863,1202,2600,2068,24,101,nlos,esl,hw,6,-0.02431568397517392,5.149315683975174,0.8823156839751736,0.8579999999999997,eslhw
335,4.267,5.08,-85.005,746,-90.791,1654,2529,1887,20,101,nlos,esl,hw,6,-0.025032368145923023,5.105032368145923,0.8380323681459227,0.8129999999999997,eslhw
336,4.267,5.123,-85.285,749,-91.081,324,2352,2497,20,101,nlos,esl,hw,6,-0.024347412024208204,5.147347412024208,0.8803474120242081,0.8559999999999999,eslhw
338,4.267,5.094,-84.923,747,-90.972,1729,2544,1647,24,101,nlos,esl,hw,6,-0.024808769616011972,5.118808769616012,0.8518087696160119,0.827,eslhw
339,4.267,5.116,-84.877,745,-91.593,80,2206,2383,24,101,nlos,esl,hw,6,-0.024458551202378942,5.140458551202379,0.8734585512023783,0.8489999999999993,eslhw
340,4.267,5.098,-84.946,744,-91.028,298,2409,2475,20,101,nlos,esl,hw,6,-0.02474498907805156,5.122744989078051,0.8557449890780511,0.8309999999999995,eslhw
341,4.267,5.114,-85.101,745,-90.439,1576,2725,1963,20,101,nlos,esl,hw,6,-0.02449033127747402,5.138490331277474,0.8714903312774736,0.8469999999999995,eslhw
342,4.267,5.111,-84.958,744,-90.957,733,2520,2308,24,101,nlos,esl,hw,6,-0.024538023097244732,5.1355380230972445,0.8685380230972441,0.8439999999999994,eslhw
392,4.974,5.055,-80.999,746,-94.998,867,1714,1062,36,101,nlos,lz,lz,8,-0.025433074572487335,5.080433074572487,0.10643307457248685,0.08099999999999952,lzlz
